filename,text
"harvard.wav","The stale smell of old beer lingers. It takes heat to bring out the odour. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favourite. A zestful food is the hot cross bun."
"LDC93S1.wav","She had your dark suit in greasy wash water all year"
"audiomass-output (1).wav", "No man thinks more highly than I do of the patriotism as well as abilities of the very worthy gentlemen who have just addressed the House"
"audiomass-output.wav", "But different men often see the same subject in different lights"
"audiomass-output (2).wav", "and therefore I hope it will not be thought disrespectful"
"audiomass-output (3).wav", "This is no time for ceremony"
"audiomass-output (4).wav", "The question before the House is one of awful moment to this country"
"audiomass-output (5).wav", "For my own part I consider it as nothing less than a question of freedom or slavery"
"audiomass-output (6).wav", "and in proportion to the magnitude of the subject ought to be the freedom of the debate" 
"audiomass-output (7).wav", "It is only in this way that we can hope to arrive at truth and fulfill the great responsibility which we hold to God and our country"
"audiomass-output (8).wav", "Mr. President it is natural to man to indulge in the illusions of hope."
"audiomass-output (9).wav", "We are apt to shut our eyes against a painful truth and listen to the song of that siren till she transforms us into beasts"
"audiomass-output (10).wav", "Is this the part of wise men engaged in a great and arduous struggle for liberty?"
"audiomass-output (11).wav", "Are we disposed to be of the number of those who having eyes see not and having ears hear not"
"audiomass-output (12).wav", "the things which so nearly concern their temporal salvation?"
"audiomass-output (13).wav", "For my part whatever anguish of spirit it may cost I am willing to know the whole truth"
"audiomass-output (14).wav", "I have but one lamp by which my feet are guided and that is the lamp of experience"
"audiomass-output (15).wav", "I know of no way of judging the future but by the past"
"audiomass-output (16).wav", "Is it that insidious smile with which our petition has been lately received?"
"audiomass-output (17).wav", "Trust it not sir; it will prove a snare to your feet"
"audiomass-output (18).wav", "Suffer not yourselves to be betrayed with a kiss"
"audiomass-output (19).wav", "Ask yourselves how this gracious reception of our petition comports with those warlike preparations which cover our waters and darken our land"
"audiomass-output (20).wav", "Are fleets and armies necessary to a work of love and reconciliation?"
"audiomass-output (21).wav", "Have we shown ourselves so unwilling to be reconciled that force must be called in to win back our love?"
"audiomass-output (22).wav", "Let us not deceive ourselves sir"
"audiomass-output (23).wav", "These are the implements of war and subjugation"
"audiomass-output (24).wav", "the last arguments to which kings resort"
"audiomass-output (25).wav", "I ask gentlemen sir what means this martial array if its purpose be not to force us to submission?"
"audiomass-output (26).wav", "Can gentlemen assign any other possible motive for it?"
"audiomass-output (27).wav", "Has Great Britain any enemy in this quarter of the world to call for all this accumulation of navies and armies?"
"audiomass-output (28).wav", "No sir she has none"
"audiomass-output (29).wav", "They are meant for us"
"audiomass-output (30).wav", "they can be meant for no other"
"audiomass-output (31).wav", "They are sent over to bind and rivet upon us those chains which the British ministry have been so long forging"
"audiomass-output (32).wav", "And what have we to oppose to them?"
"audiomass-output (33).wav", "Shall we try argument?"
"audiomass-output (34).wav", "Sir we have been trying that for the last ten years"
"audiomass-output (35).wav", "Have we anything new to offer upon the subject?"
"audiomass-output (36).wav", "We have held the subject up in every light of which it is capable"
"audiomass-output (37).wav", "But it has all been in vain"
"audiomass-output (38).wav", "Shall we resort to entreaty and humble supplication?"
"audiomass-output (39).wav", "What terms shall we find which have not been already exhausted?"
"audiomass-output (40).wav", "Let us not I beseech you sir deceive ourselves"
"audiomass-output (41).wav", "Sir we have done everything that could be done to avert the storm which is now coming"
"audiomass-output (42).wav", "We have petitioned"
"audiomass-output (43).wav", "We have remonstrated"
"audiomass-output (44).wav", "We have supplicated"
"audiomass-output (45).wav", "Thank you very much Mr. President"
"audiomass-output (46).wav", "Ladies and gentlemen of the Senate"
"audiomass-output (47).wav", "I have to say that I didn't anticipate speaking today but thank you"
